name,owner,location,phone,email,services,categories,source_url
Royal Gym Services,,"47412 Bahama Ct, Indio, CA 92201", (760) 449-8828,service@totalfitnessrepair.net,,"Sporting Goods, Exercise & Fitness Equipment, Exercise & Physical Fitness Programs, Exercising Equipment-Service & Repair, Gymnasiums, Health & Wellness Products, Health Clubs, Health Resorts ",https://www.yellowpages.com/indio-ca/mip/royal-gym-services-481909798?lid=1001500962797
Alpha Omega Summer  Camp,,"1286 University Ave, San Diego, CA 92103", (858) 635-1211,,,"Music Instruction-Instrumental, Camps-Recreational, Child Care, Dance Companies, Sports & Entertainment Centers ",https://www.yellowpages.com/san-diego-ca/mip/alpha-omega-summer-camp-460762164
Roseville Honda Motorsports,,"360 N Sunrise Ave, Roseville, CA 95661", (916) 784-6632,chmp4r@yahoo.com,,"Sporting Goods, All-Terrain Vehicles, Generators, Motor Scooters, Motorcycle Customizing, Motorcycle Dealers, Motorcycles & Motor Scooters-Parts & Supplies, Motorcycles & Motor Scooters-Repairing & Service, Water Skiing Equipment & Supplies ",https://www.yellowpages.com/roseville-ca/mip/roseville-honda-motorsports-481644226?lid=1000295308305
Stevens Steak & Seafood House,,"5332 Stevens Pl, Commerce, CA 90040", (323) 406-1440,,,"Restaurants, Banquet Halls & Reception Facilities, Barbecue Restaurants, Bars, Caterers, Concert Halls, Family Style Restaurants, Italian Restaurants, Liquor Stores, Mediterranean Restaurants, Meeting & Event Planning Services, Sandwich Shops, Seafood Restaurants, Sports Bars, Steak Houses, Take Out Restaurants, Theatres, Wedding Chapels & Ceremonies, Wedding Supplies & Services, Wine, Wine Bars ",https://www.yellowpages.com/commerce-ca/mip/stevens-steak-seafood-house-22385643?lid=171734821
Turners Wild West (Western Wear Emporium),,"1235 S Main St, Angels Camp, CA 95222", (209) 736-4909,,"Hats, Leather Clothing, Boots.","Sporting Goods, Boot Stores, Children & Infants Clothing, Clothing Stores, Hat Shops, Leather Apparel, Men's Clothing, Riding Apparel & Equipment, Shoe Stores, Western Apparel & Supplies, Women's Clothing ",https://www.yellowpages.com/angels-camp-ca/mip/turners-wild-west-western-wear-emporium-481115176?lid=1001770371382
Judd Miller Custom Saddlery,,"19350 Balis Rd, Red Bluff, CA 96080", (530) 529-6615,judd@juddmiller.com,,"Sporting Goods, Horse Equipment & Services, Leather, Livestock Equipment & Supplies, Riding Apparel & Equipment, Saddlery & Harness, Western Apparel & Supplies ",https://www.yellowpages.com/red-bluff-ca/mip/judd-miller-custom-saddlery-472593563?lid=1000116660683
Play It Again Sports,,"1911 Santa Rosa Ave, Santa Rosa, CA 95407", (707) 527-7678,,"Hot Stone Massage, Lash & Brow Tinting, Waxing, Cupping Massage Therapy, Skin Care, Bamboo Stick Massage, Deep Pressure Massage, Pregnancy Massage, Relaxation Massage, Facials.","Sporting Goods, Exercise & Fitness Equipment, Exercise & Physical Fitness Programs, Golf Equipment & Supplies, Ski Centers & Resorts, Skiing Equipment ",https://www.yellowpages.com/santa-rosa-ca/mip/play-it-again-sports-15883390?lid=1002100199447
Mountain West Basketball Championships,,"1700 Montgomery St, San Francisco, CA 94111", (415) 391-2744,,,"Basketball Clubs, Event Ticket Sales, Football Clubs, Sports & Entertainment Ticket Sales, Sports Clubs & Organizations, Tourist Information & Attractions ",https://www.yellowpages.com/san-francisco-ca/mip/mountain-west-basketball-championships-504999782?lid=1000781481556
Menifee Bicycles,,"26100 Newport Rd Ste A20, Menifee, CA 92584", (951) 672-1637,craigstown@gmail.com,"Sales & Service, Bicycle Sales & Service, Electric Bikes, Accessories, Exercise Bikes, Helmets, Comfort Bikes, Fitness Equipment, Cruiser Bikes, Road Bikes, Mountain Bikes, BMX Bikes, Cruisers.","Sporting Goods, Bicycle Repair, Bicycle Shops, Motor Scooters ",https://www.yellowpages.com/menifee-ca/mip/menifee-bicycles-462021211?lid=1002005778667
Bighorn Gunshop,,"6271 Pleasant Valley Rd, El Dorado, CA 95623", (530) 642-1892,bighorngun@comcast.net,,"Sporting Goods, Ammunition, Guns & Gunsmiths, Paintball, Recreation Centers ",https://www.yellowpages.com/el-dorado-ca/mip/bighorn-gunshop-461721386?lid=1000028246664
Cameron Park Physical Therapy Center Inc.,,"1060 Camerado Dr, Cameron Park, CA 95682", (530) 676-7184,,,"Sporting Goods, Clinics, Exercise & Fitness Equipment, Exercise & Physical Fitness Programs, Health Clubs, Health Resorts, Massage Therapists, Personal Fitness Trainers, Physical Fitness Consultants & Trainers, Physical Therapists, Physical Therapy Clinics, Rehabilitation Services, Sports Medicine & Injuries Treatment, Wheelchairs ",https://www.yellowpages.com/cameron-park-ca/mip/cameron-park-physical-therapy-center-inc-461721036?lid=1000116794239
Pacific Coast Gymnastics,,"992 Rancheros Dr Ste B, San Marcos, CA 92069", (760) 489-4496,info@pacificcoastgymnastics.com,,"Party & Event Planners, Cheerleading, Children's Instructional Play Programs, Exercise & Physical Fitness Programs, Gymnasiums, Gymnastics Instruction, Gymnastics Supplies, Party Planning, Sporting Goods, Sports Instruction ",https://www.yellowpages.com/san-marcos-ca/mip/pacific-coast-gymnastics-15027317?lid=1001978407235
Sonoma Outfitters,,"2412 Magowan Dr, Santa Rosa, CA 95405", (707) 528-1920,info@sonomaoutfitters.com,,"Sporting Goods, Bicycle Shops, Binoculars, Campgrounds & Recreational Vehicle Parks, Camping Equipment Rental, Canoes & Kayaks, Clothing Stores, Lodging, Luggage, Shoe Stores, Sunglasses, Tents ",https://www.yellowpages.com/santa-rosa-ca/mip/sonoma-outfitters-455590161?lid=1000238768156
Party Place The,,"940 Broadway, Eureka, CA 95501", (707) 443-0833,,"Balloon ArrangementsBalloon DecoratingChairsDinnerwareFavorsHeliumHelium TanksInvitationsLatexMylarRental ServiceRentalsSalesTablesTables & ChairsTableware, Wedding Supplies, Party Favors, Balloons.","Sporting Goods, Balloons-Retail & Delivery, Camping Equipment, Costumes, Party Favors, Supplies & Services, Party Supply Rental, Rental Service Stores & Yards, Tents-Rental, Wedding Planning & Consultants, Wedding Supplies & Services ",https://www.yellowpages.com/eureka-ca/mip/party-place-the-461715159?lid=1001778145586
"Wallace Safe & Lock Co., Inc.",,"128 Court St, Woodland, CA 95695", (530) 666-2454,,"Master Key Design, Drill-Outs, Safe Deposit Boxes, Lock Maintenance, Lock-Outs, Commercial Locksmiths, Door Repair, Emergency Locksmith, Motorcycle Locksmith, Industrial Locksmiths, Mobile Locksmith, Safe Rental, Auto Locksmiths, Key Duplicating, Mobile Auto Locksmiths, Key Control System Repair, Safes Moving, Locksmiths' Supplies, In-Floor Safes, Safes & Vaults, Deadbolts, Padlocks, High-Security Locks, Magnetic Locks, Cash Drawers, Interchangeable Core, Home Locks, Antique Locks, Gun Safes, Wall Safes, Decorative Locks, Sliding Door Locks, UL Listed Safes, Keyless Entry Deadbolts, Custom Safes, Safe Deposit Boxes, Apartment Safes, Keys, Patio Locks, Jewelers' Safes, Diversion Safes, Auto Locks, Lock Parts, Data Safes, Luggage Locks, Storefront Locks, Keyless Entry Systems, Keydrop Lock Boxes.","Sporting Goods, Access Control Systems, Bank Equipment & Supplies, Door Closers & Checks, Door Repair, Garage Doors & Openers, Guns & Gunsmiths, Home Repair & Maintenance, Keys, Locks & Locksmiths, Locks & Locksmiths-Commercial & Industrial, Locksmiths Equipment & Supplies, Overhead Doors, Parking Lots & Garages, Safes & Vaults, Safes & Vaults-Opening & Repairing, Security Equipment & Systems Consultants, Storm Windows & Doors ",https://www.yellowpages.com/woodland-ca/mip/wallace-safe-lock-co-inc-452268236?lid=1001978409881
Ozone,,"1431 Park St, Alameda, CA 94501", (510) 523-2547,,,"Sporting Goods, Body Piercing, Cellular Telephone Equipment & Supplies, Cigar, Cigarette & Tobacco Dealers, Consumer Electronics, Gift Shops, Novelties, Pipes & Smokers Articles, Skateboards & Equipment ",https://www.yellowpages.com/alameda-ca/mip/ozone-461708062?lid=1000108740720
Rebco's Billiard Services,,, (559) 696-9745,rebcobilliards@att.net,,"Sporting Goods, Billiard Equipment & Supplies, Billiard Equipment-Wholesale & Manufacturers, Billiard Table Repairing, Sporting Goods-Wholesale & Manufacturers ",https://www.yellowpages.com/nationwide/mip/rebcos-billiard-services-461702819?lid=1000621577673
Reynolds Ranch and Farm Supply,,"501 Madison St, Red Bluff, CA 96080", (530) 527-1622,webb.sam.k@gmail.com,"Animal Feed, Dog and Cat food, Sporting Goods, Western Wear.","Sporting Goods, Feed Dealers, Fence Materials, Fishing Tackle, Guns & Gunsmiths, Hay, Horse Trailers, Livestock Equipment & Supplies, Pet Stores, Trailers-Automobile Utility, Veterinarians Equipment & Supplies, Western Apparel & Supplies ",https://www.yellowpages.com/red-bluff-ca/mip/reynolds-ranch-and-farm-supply-4393109?lid=1000238750942
Tack Room The,,"5437 McHenry Ave, Modesto, CA 95356", (209) 526-6650,info@etackroom.com,"Gift Shops, Horse Equipment, Horse Grooming Supplies and Accessories, Consignment Saddles, Horse Riding Equipment, Horse Feed & Treats, Horse Gifts, Horse Saddles.","Sporting Goods, Horse Equipment & Services, Livestock Equipment & Supplies, Riding Apparel & Equipment, Stables ",https://www.yellowpages.com/modesto-ca/mip/tack-room-the-473530440?lid=1000229970985
Gracie Barra San Clemente Martial Arts,,"1011 Avenida Pico Suite A., San Clemente, CA 92673", (949) 361-9411,info@gbsanclemente.com,,"Recreation Centers, Sports & Entertainment Centers ",https://www.yellowpages.com/san-clemente-ca/mip/gracie-barra-san-clemente-martial-arts-28595832
Pacific Drive Inc,,"756 Thomas Ave, San Diego, CA 92109", (858) 270-3361,,,"Sporting Goods, Skateboards & Equipment, Surfboards ",https://www.yellowpages.com/san-diego-ca/mip/pacific-drive-inc-4297444?lid=1001770349240
"Allie's Party Equipment Rental, Inc.",,"130 Vallecitos De Oro, San Marcos, CA 92069", (760) 591-4314,info@alliesparty.com,"Acrylic Dispensers, Aisle Runners, Bar Equipment and Coolers, Bubble Machine, Candelabras, Canopies, Tents and Liners, Tent Liners, Pop-Up Tents, Clear Canopy Tents, Festival Frame Tents, Standard Frame Tents, JumboTrac Frame Tents, Series 2000 Pole Tents, Canopy Accessories &amp; Sidewalls, Canopy Accessories, Canopy Sidewalls, Chafing Dishes, Chairs, Chair Covers and Sashes, Champagne Buckets &amp; Stands, China &amp; Dinnerware, Black China, Charger Plates, Clear Glass China, Cowboy China, Grand Affair China, Ivory China, White China, White Square China, Coffee Makers, Coffee Thermos, Concession &amp; Carnival, Cooking Equipment, Cooling &amp; Heating, Flooring &amp; Staging, Flatware, Baskets, Columns &amp; Urns, Fog Machine, Chafing Dishes, Cooking Equipment, Food Transport Boxes, Steam Tables, Fountains, Glassware, Grills, Helium &amp; Balloons, Event Lighting, Linens, Meeting &amp; Seminar Equipment, Party Jumps, Pitchers, Plastic Table Covers, Power Distribution, Punch Bowls, Bowls, Trays, Serving Utensils, Silver Serving Utensils, Stainless Serving Utensils, Skirting, Sky Dancers &amp; Cash Cube, Stanchions, Banquet Table, Belly Bars, Other Tables, Round Tables, Seminar Tables, Table Accessories, Theme &amp; Event Props, Food Transport Boxes, Trays, Umbrellas, Wedding Equipment, Arches, Benches, Book Stands, Cake Stands, Columns, Fan Back Chair, Flower Baskets, Gazebos &amp; Chuppah, Heart Table &amp; Linen, Lattice Panels &amp; Fencing, Urns, Wishing Wells, Bar Supplies, Tables & Chairs, Tents, Food Service Equipment, Heaters, Food Warmers, Linens, Glassware, China, Balloons.","Sporting Goods, Amusement Devices, Balloon Decorators, Balloons-Novelty & Toy-Wholesale & Manufacturers, Balloons-Retail & Delivery, Camping Equipment, Casino Equipment & Supplies, Caterers, Caterers Equipment & Supplies, Chair Rental, Convention Services & Facilities, Food Processing Equipment & Supplies, Furniture Stores, Party Favors, Supplies & Services, Party Planning, Party Supply Rental, Rental Service Stores & Yards, Tables-Folding, Tents, Tents-Rental, Wedding Chapels & Ceremonies, Wedding Supplies & Services ",https://www.yellowpages.com/san-marcos-ca/mip/allies-party-equipment-rental-inc-4062252?lid=1001950254334
Gold Star Gymnastics,,"240 S Whisman Rd, Mountain View, CA 94041", (650) 694-7827,pevans@ggym.com,,"Gymnastics Instruction, Cheerleading, Children's Party Planning & Entertainment, Dancing Instruction, Party Planning, Sports Instruction ",https://www.yellowpages.com/mountain-view-ca/mip/gold-star-gymnastics-2636321
Valley Gun,,"2728 Chester Ave, Bakersfield, CA 93301", (661) 325-9468,ken@valleygun.com,,"Sporting Goods, Ammunition, Bank Equipment & Supplies, Binoculars, Guns & Gunsmiths, Safes & Vaults ",https://www.yellowpages.com/bakersfield-ca/mip/valley-gun-3798407?lid=1001707175767
New Hope Academy Of Gymnastics,,"17270 Newhope St, Fountain Valley, CA 92708", (714) 556-8050,info@newhopegymnastics.com,,"Gymnastics Instruction, Sports Instruction ",https://www.yellowpages.com/fountain-valley-ca/mip/new-hope-academy-of-gymnastics-2612793
Olympica Gymnastics Academy,,"26601 Cabot Rd, Laguna Hills, CA 92653", (949) 582-3329,,,"Gymnastics Instruction, Dancing Instruction, Sports Instruction ",https://www.yellowpages.com/laguna-hills-ca/mip/olympica-gymnastics-academy-2578577
Skyline Ranch Equestrian Center Inc,,"5750 Redwood Rd, Oakland, CA 94619", (510) 336-0850,webmaster@skyline-ranch.com,,"Stables, Amusement Places & Arcades, Horse Boarding, Horse Stables, Riding Academies, Sports & Entertainment Centers ",https://www.yellowpages.com/oakland-ca/mip/skyline-ranch-equestrian-center-inc-2485265
S L V Swim Center,,"9050 Highway 9, Ben Lomond, CA 95005", (831) 336-3455,,,"Swimming Instruction, Sports Instruction ",https://www.yellowpages.com/ben-lomond-ca/mip/s-l-v-swim-center-2363592
Steele Boxer,,"407 Washington Blvd, Marina Del Rey, CA 90292", (310) 827-2697,,,"Boxing Instruction, Martial Arts Instruction, Sports Instruction ",https://www.yellowpages.com/marina-del-rey-ca/mip/steele-boxer-2739646
Ingold Sports Parks,,"2551 Olive Hill Rd, Fallbrook, CA 92028", (760) 731-6000,ingoldsp@gmail.com,,"Sports & Entertainment Centers, Stadiums, Arenas & Athletic Fields ",https://www.yellowpages.com/fallbrook-ca/mip/ingold-sports-parks-2528876
Robert Buelteman Studio,,"848 Drake St, Montara, CA 94037", (650) 728-1010,,,Sports & Entertainment Centers ,https://www.yellowpages.com/montara-ca/mip/robert-buelteman-studio-2361601
Swartwood Amusement Co.,,"13174 Orange Ct, Chino, CA 91710", (951) 212-6560,,,"Amusement Places & Arcades, Sports & Entertainment Centers, Tourist Information & Attractions ",https://www.yellowpages.com/chino-ca/mip/swartwood-amusement-co-23019196
Happy Indoor Soccer,,"142 Blankenburg Ave, Modesto, CA 95351", (209) 527-9084,happyindoorsoccer@att.net,,Sports & Entertainment Centers ,https://www.yellowpages.com/modesto-ca/mip/happy-indoor-soccer-22720924
John Featherstone's Manhattan Beach Volleyball Clinic,,, (310) 701-0097,FeatherVolleyball@gmail.com,,"Sports & Entertainment Centers, Camps-Recreational, Exercise & Physical Fitness Programs, Personal Fitness Trainers, Sports Information Service ",https://www.yellowpages.com/nationwide/mip/john-featherstones-manhattan-beach-volleyball-clinic-22714764
Traditional Chen Taiji School,,"1647 Taraval St, San Francisco, CA 94116", (650) 438-5248,traditionalchentaiji@yahoo.com,,"Martial Arts Instruction, Sports Instruction ",https://www.yellowpages.com/san-francisco-ca/mip/traditional-chen-taiji-school-23101667
720 SK8,,, (510) 512-4303,,,"Skateboard Parks & Rinks, Skating Instruction & Clubs, Sporting Goods Repair, Sports & Entertainment Centers, Surfboards ",https://www.yellowpages.com/nationwide/mip/720-sk8-22657764
Spin 360 Core Fitness,,"757 E Arrow Hwy Ste J, Glendora, CA 91740", (626) 852-0007,schneidersport7@aol.com,,"Physical Fitness Consultants & Trainers, Sports Instruction ",https://www.yellowpages.com/glendora-ca/mip/spin-360-core-fitness-2723649
Raley Field,,"400 Ball Park Dr, West Sacramento, CA 95691", (916) 376-4700,raleyfield@rivercats.com,,"Baseball Clubs & Parks, Party & Event Planners, Sports & Entertainment Centers, Sports & Entertainment Ticket Sales, Stadiums, Arenas & Athletic Fields ",https://www.yellowpages.com/west-sacramento-ca/mip/raley-field-22697043
Arts-A Reason to Survive,,"2820 Roosevelt Rd Ste 106, San Diego, CA 92106", (619) 297-2787,,,"Sports Motivational Training, Sports Instruction ",https://www.yellowpages.com/san-diego-ca/mip/arts-a-reason-to-survive-22450094
Yogameek,,, (909) 843-7881,,,"Personal Fitness Trainers, Pilates Instruction & Equipment, Sports & Entertainment Centers ",https://www.yellowpages.com/nationwide/mip/yogameek-22178220
Mountasia Family Fun Center,,"21516 Golden Triangle Rd, Santa Clarita, CA 91350", (661) 253-4386,courtney@mountasiafuncenter.com,,"Amusement Places & Arcades, Sports & Entertainment Centers ",https://www.yellowpages.com/santa-clarita-ca/mip/mountasia-family-fun-center-22184605
Junior Gym,,"14720 Oxnard St, Van Nuys, CA 91411", (818) 785-2177,al_lyons@juniorgym.com,,"Gymnastics Instruction, Camps-Recreational, Dancing Instruction, Exercise & Physical Fitness Programs, Gymnasiums, Martial Arts Instruction, Sports Instruction ",https://www.yellowpages.com/van-nuys-ca/mip/junior-gym-22653514
Hooper Trails Horses-Griffth Park,,, (310) 633-0383,dhhoop@yahoo.com,,Sports & Entertainment Centers ,https://www.yellowpages.com/nationwide/mip/hooper-trails-horses-griffth-park-21957410
Big Fly,,"6102 Avenida Encinas, Carlsbad, CA 92011", (760) 918-0988,,,Sports Instruction ,https://www.yellowpages.com/carlsbad-ca/mip/big-fly-22156350
Pico Park,,"9528 Beverly Blvd, Pico Rivera, CA 90660", (562) 801-4470,,,"Sports & Entertainment Centers, Recreation Centers ",https://www.yellowpages.com/pico-rivera-ca/mip/pico-park-21026222
All Star Swim School,,"5800 Camino Tassajara, Pleasanton, CA 94588", (925) 967-0900,,,"Swimming Instruction, Preschools & Kindergarten, Private Swimming Pools, Schools, Sports Instruction ",https://www.yellowpages.com/pleasanton-ca/mip/all-star-swim-school-21993997
A Higher Perspective,,"2551 San Ramon Valley Blvd Ste 254, San Ramon, CA 94583", (925) 820-1949,,,"Counseling Services, Alternative Medicine & Health Practitioners, Hypnotherapy, Hypnotists, Sports Instruction, Sports Motivational Training ",https://www.yellowpages.com/san-ramon-ca/mip/a-higher-perspective-21993087
Gymnasti Kids,,"2237 E Colorado Blvd, Pasadena, CA 91107", (626) 796-5437,,,"Gymnastics Instruction, Sports Instruction ",https://www.yellowpages.com/pasadena-ca/mip/gymnasti-kids-2045282
Jungle Quest,,"755 Southpoint Blvd Suite A, Petaluma, CA 94954", (707) 780-4222,,,"Amusement Places & Arcades, Children's Party Planning & Entertainment, Gymnasiums, Recreation Centers, Sports & Entertainment Centers ",https://www.yellowpages.com/petaluma-ca/mip/jungle-quest-206826
A-Armor Lock & Security,,"16711 Parkside Ave, Cerritos, CA 90703", (562) 865-4019,,,"Sporting Goods, Access Control Systems, Bank Equipment & Supplies, Guns & Gunsmiths, Keys, Locks & Locksmiths, Locks & Locksmiths-Commercial & Industrial, Locksmiths Equipment & Supplies, Printing Services, Safes & Vaults, Safes & Vaults-Opening & Repairing, Security Control Systems & Monitoring, Security Equipment & Systems Consultants, Security Guard & Patrol Service ",https://www.yellowpages.com/cerritos-ca/mip/a-armor-lock-security-3642963?lid=1001977911292
La Boxing Torrance,,"1431 W Knox St Ste 1200, Torrance, CA 90501", (310) 618-1269,torranceknoxstreetgm@ufcgym.com,,"Boxing Instruction, Sports Instruction ",https://www.yellowpages.com/torrance-ca/mip/la-boxing-torrance-20326332
